"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
"","Wed, 3 Sep 2025 13:47:49 -0400",@angular/core:9.0.0,/home/samomik/Projects-WSL/juice-shop/frontend/package-lock.json?/@angular/core:9.0.0,Angular - the core framework,MIT,"","",pkg:npm/%40angular%2Fcore@9.0.0,"",GHSA-c75v-2vq8-878f,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A vulnerability was found in Angular up to 11.0.4/11.1.0-next.2. It has been classified as problematic. Affected is the handling of comments. The manipulation leads to cross site scripting. It is possible to launch the attack remotely but it might require an authentication first. Upgrading to version 10.2.5, 11.0.5 or 11.1.0-next.3 is advised to to address this issue.",NPM,"","","",MEDIUM,5.400000095367432,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,"","","",HIGHEST,6,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",async:2.6.4,/home/samomik/Projects-WSL/juice-shop/package-lock.json?/async:2.6.4,Higher-order functions and common patterns for asynchronous code,MIT,"","",pkg:npm/async@2.6.4,cpe:2.3:a:async_project:async:2.6.4:*:*:*:*:*:*:*,CVE-2024-39249,CWE-1333 Inefficient Regular Expression Complexity,Async <= 2.6.4 and <= 3.2.5 are vulnerable to ReDoS (Regular Expression Denial of Service) while parsing function in autoinject function. NOTE: this is disputed by the supplier because there is no realistic threat model: regular expressions are not used with untrusted input.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-39249 for details,OSSINDEX,MEDIUM,6.300000190734863,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,"","","","","","",HIGHEST,8,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",base64url:0.0.6,/home/samomik/Projects-WSL/juice-shop/package-lock.json?jws:0.2.6/base64url:0.0.6,For encoding to/from base64urls,MIT,"","",pkg:npm/base64url@0.0.6,"",GHSA-rvg8-pwq2-xj7q,CWE-125 Out-of-bounds Read,Versions of `base64url` before 3.0.0 are vulnerable to to out-of-bounds reads as it allocates uninitialized Buffers when number is passed in input on Node.js 4.x and below.   ## Recommendation  Update to version 3.0.0 or later.,NPM,"","","","","","","","","",HIGHEST,6,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",bench.js,/home/samomik/Projects-WSL/juice-shop/node_modules/fast.js/dist/bench.js,"","",6af488defde3d81bad97d52146d0bfe7,ae9a60339937cfa9b108228a343565a977759fdd,pkg:javascript/underscore.js@1.7.0,"",CVE-2021-23358,CWE-94 Improper Control of Generation of Code ('Code Injection'),"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",NVD,MEDIUM,6.5,/AV:N/AC:L/Au:S/C:P/I:P/A:P,HIGH,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H/E:1.2/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",blaze.jar (shaded: commons-io:commons-io:2.4),/home/samomik/Projects-WSL/juice-shop/frontend/node_modules/font-mfizz/blaze.jar/META-INF/maven/commons-io/commons-io/pom.xml,"The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.","",a75b48557fe5da29195020755a5b1be7,9ece23effe8bce3904f3797a76b1ba6ab681e1b9,pkg:maven/commons-io/commons-io@2.4,cpe:2.3:a:apache:commons_io:2.4:*:*:*:*:*:*:*,CVE-2021-29425,"CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'), CWE-20 Improper Input Validation","In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,4.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N/E:2.2/RC:R/MAV:A,"","","",HIGH,86,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",blaze.jar (shaded: commons-io:commons-io:2.4),/home/samomik/Projects-WSL/juice-shop/frontend/node_modules/font-mfizz/blaze.jar/META-INF/maven/commons-io/commons-io/pom.xml,"The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.","",a75b48557fe5da29195020755a5b1be7,9ece23effe8bce3904f3797a76b1ba6ab681e1b9,pkg:maven/commons-io/commons-io@2.4,cpe:2.3:a:apache:commons_io:2.4:*:*:*:*:*:*:*,CVE-2024-47554,CWE-400 Uncontrolled Resource Consumption,"Uncontrolled Resource Consumption vulnerability in Apache Commons IO.  The org.apache.commons.io.input.XmlStreamReader class may excessively consume CPU resources when processing maliciously crafted input.   This issue affects Apache Commons IO: from 2.0 before 2.14.0.  Users are recommended to upgrade to version 2.14.0 or later, which fixes the issue.",NVD,"","","",MEDIUM,4.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L/E:2.8/RC:R/MAV:A,"","","",HIGH,86,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",blaze.jar,/home/samomik/Projects-WSL/juice-shop/frontend/node_modules/font-mfizz/blaze.jar,"","",7a92044cefeda2262db247fc48f05264,422762f7d9e5812d999db0cc7528b90ed0eef11c,"",cpe:2.3:a:apache:ivy:0.8.0:*:*:*:*:*:*:*,CVE-2022-46751,"CWE-611 Improper Restriction of XML External Entity Reference, CWE-91 XML Injection (aka Blind XPath Injection)","Improper Restriction of XML External Entity Reference, XML Injection (aka Blind XPath Injection) vulnerability in Apache Software Foundation Apache Ivy.This issue affects any version of Apache Ivy prior to 2.5.2.  When Apache Ivy prior to 2.5.2 parses XML files - either its own configuration, Ivy files or Apache Maven POMs - it will allow downloading external document type definitions and expand any entity references contained therein when used.  This can be used to exfiltrate data, access resources only the machine running Ivy has access to or disturb the execution of Ivy in different ways.  Starting with Ivy 2.5.2 DTD processing is disabled by default except when parsing Maven POMs where the default is to allow DTD processing but only to include a DTD snippet shipping with Ivy that is needed to deal with existing Maven POMs that are not valid XML files but are nevertheless accepted by Maven. Access can be be made more lenient via newly introduced system properties where needed.  Users of Ivy prior to version 2.5.2 can use Java system properties to restrict processing of external DTDs, see the section about ""JAXP Properties for External Access restrictions"" inside Oracle's ""Java API for XML Processing (JAXP) Security Guide"".",NVD,"","","",HIGH,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:L/E:3.9/RC:R/MAV:A,"","","","",14,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",braces:2.3.2,/home/samomik/Projects-WSL/juice-shop/package-lock.json?micromatch:3.1.10/braces:^2.3.1,"Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed.",MIT,"","",pkg:npm/braces@2.3.2,"cpe:2.3:a:braces_project:braces:2.3.2:*:*:*:*:*:*:*, cpe:2.3:a:jonschlinkert:braces:2.3.2:*:*:*:*:*:*:*",CVE-2024-4068,"CWE-400 Uncontrolled Resource Consumption, CWE-1050 Excessive Platform Resource Consumption within a Loop","The NPM package `braces`, versions prior to 3.0.3, fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGHEST,8,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",codemirror:5.65.20,/home/samomik/Projects-WSL/juice-shop/frontend/package-lock.json?codemirror-solidity:0.2.5/codemirror:^5.56.0,Full-featured in-browser code editor,MIT,"","",pkg:npm/codemirror@5.65.20,cpe:2.3:a:codemirror:codemirror:5.65.20:*:*:*:*:*:*:*,CVE-2025-6493,CWE-1333 Inefficient Regular Expression Complexity,"A vulnerability was found in CodeMirror up to 5.17.0 and classified as problematic. Affected by this issue is some unknown functionality of the file mode/markdown/markdown.js of the component Markdown Mode. The manipulation leads to inefficient regular expression complexity. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. Not all code samples mentioned in the GitHub issue can be found. The repository mentions, that ""CodeMirror 6 exists, and is [...] much more actively maintained.""",OSSINDEX,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,10,"","","","","","","",""
"","Wed, 3 Sep 2025 13:47:49 -0400",cookie:0.4.2,/home/samomik/Projects-WSL/juice-shop/package-lock.json?/cookie:0.4.2,HTTP server cookie parsing and serialization,MIT,"","",pkg:npm/cookie@0.4.2,"",CVE-2024-47764,CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"cookie is a basic HTTP cookie parser and serializer for HTTP servers. The cookie name could be used to set other fields of the cookie, resulting in an unexpected cookie value. A similar escape can be used for path and domain, which could be abused to alter other fields of the cookie. Upgrade to 0.7.0, which updates the validation for name, path, and domain.",OSSINDEX,MEDIUM,6.900000095367432,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,"","","","","","",HIGHEST,6,"","","","","","","",""
